iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
CHN,China,2020-07-27,0,1133762.4659300074,2327.686,-314.222,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-07-25,116535.23439886051,979831.0740882265,1643.246,124.649,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-01-03,0,498043.4831349198,763.714,-212.142,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-06-28,54744.77619381273,890027.2996908132,2042.357,272.089,0,0,FALSE,0.497013631102855,10.641
CHN,China,2022-09-12,141899.52867792657,1013514.0536935395,1661.709,344.706,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-09-13,218627.0017562418,962770.5762077463,2241.992,1020.956,10254.245922171296,0,FALSE,0.497013631102855,10.641
CHN,China,2020-08-10,0,920996.470427329,1838.559,-295.077,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-03-09,0,0,-584.845,-1090.32,0,31.25,TRUE,0.497013631102855,10.641
CHN,China,2020-02-10,0,205432.79622620693,0.216,-729.211,0,81.25,TRUE,0.497013631102855,10.641
CHN,China,2020-02-03,187800.28184113084,187800.28184113084,933.393,-522.715,0,46.125,TRUE,0.497013631102855,10.641
CHN,China,2020-11-02,102484.71432659547,764662.5287855548,1753.429,339.674,0,0,FALSE,0.497013631102855,10.641
CHN,China,2021-11-29,219204.45070741678,956215.4240024223,2175.224,648.258,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-05-25,0,544136.9875508158,550.209,-267.061,0,0,FALSE,0.497013631102855,10.641
CHN,China,2020-03-30,0,69379.38487418262,-270.483,-761.94,0,4.25,FALSE,0.497013631102855,10.641
CIV,Ivory Coast,2022-02-21,17631.377241229606,69164.47055520148,54.954,24.976,1552.346194485262,0.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-04-27,0,6795.308989593057,-19.418,-52.015,0,0.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-06-21,11257.510124354922,55429.136355065166,44.522,15.947,0,0.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-11-09,2943.0337811773793,57854.721404747455,26.347,-5.559,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-12-27,54697.78998967784,144734.57520260816,112.082,61.161,15113.314996696214,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-04-20,0,6991.558303857224,-17.932,-49.843,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-09-28,0,39909.20407413816,0.294,-25.748,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-10-25,17204.993839015373,61904.65779299755,45.808,19.482,0,1,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-10-31,3573.4317582921317,59114.81142619184,33.859,-7.413,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-12-21,3816.9785691595325,64541.31674543159,45.658,5.407,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-03-28,15827.01304245547,63971.62898783741,51.837,22.42,1783.186215220451,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-03-22,0,84658.98925586406,62.928,-3.728,0,1.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-09-19,13685.918905177707,61034.94860172613,43.228,8.231,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-06-27,9984.71331277833,60671.393217387835,43.217,10.82,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-04-18,9863.292873737191,56516.97877693956,44.521,13.972,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-05-23,10833.95045328118,50399.36526106449,41.186,13.295,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-09-26,14899.417362803977,68422.53519803731,43.818,9.04,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-10-05,0,40666.66995257503,0.562,-29.373,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-05-24,18465.083860459756,49208.45665256215,43.519,15.169,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-06-01,0,36606.85050533322,1.644,-36.195,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-07-04,9504.679018894756,58041.79359280503,37.307,8.008,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-02-01,10073.660843703816,67127.14853733678,54.344,14.27,0,1.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-11-01,22477.605811098332,65817.6432209338,57.175,28.422,1059.6051104694764,0.75,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-01-03,54680.141670049765,114242.51448200952,97.463,53.568,9785.640267373672,1.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-08-01,10125.193937017788,53801.961285356876,35.238,8.401,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-05-10,11908.380152238238,50030.16241444521,36.379,9.178,0,0.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-01-04,15104.137870489618,68258.75879188879,50.187,9.08,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-10-18,19091.952173648893,64788.39322022461,47.438,20.307,739.8175588088017,2.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-01-17,38838.30403910672,77028.5617814706,64.962,34.24,1529.756345361329,3.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-07-26,32765.16428869439,66815.12624631246,49.696,21.745,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-10-04,23007.76133272563,69249.18248941623,54.625,26.776,2202.5102895834552,5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-11-15,21290.22686652161,65281.84023702551,58.705,28.635,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-07-25,9689.633408596957,57921.78501933413,36.673,8.945,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-01-27,2699.4869703099785,13490.375523698662,4.308,-3.284,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-05-30,10823.361461504339,50755.155384766425,41.308,12.237,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-03-21,17713.265444303863,60635.390645346575,52.181,23.511,481.4461594538194,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-05-25,0,26034.095182547513,-5.529,-34.766,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-02-07,18275.187941261695,70536.09795669527,58.101,24.347,0,0.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-07-13,8763.449594515709,84843.23771278113,49.706,8.35,0,1.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-12-28,4306.189989249704,64962.05268536483,49.501,6.1,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-09-14,0,48105.083709415056,9.859,-18.807,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-03-16,0,7890.210739318679,-14.666,-38.396,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-11-23,3234.5840214331383,54515.65933111613,27.455,-4.334,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-01-13,2710.075962086822,10732.296132223482,3.839,-1.583,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-09-05,12238.756695675756,63298.16911083015,40.871,8.673,0,0.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-08-02,39287.98322323001,79754.87419761525,62.264,29.106,3463.3062438129587,1,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-10-19,0,41061.28637945873,4.552,-27.834,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-07-27,0,59450.83543191034,32.545,-4.387,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-08-24,0,45007.45064829576,14.284,-12.067,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-06-29,609.9259263461876,52287.02952848312,27.312,-3.974,0,1.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-07-19,31390.713156060097,61507.217634973356,44.467,11.027,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-09-06,27451.608215074302,69482.14030850679,69.957,38.887,7778.673359269261,5.875,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-06-28,10886.189479380277,50367.59828573396,44.858,15.421,0,0.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-02-22,0,61481.80405470893,43.307,-0.081,0,1.75,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-03-02,437.6783267761994,17755.62141141124,0.62,-30.929,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-12-13,16611.304366727014,56882.65195963322,55.214,23.531,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-05-16,10313.677990645601,53688.306106952085,41.716,13.491,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-03-23,0,5283.906896644924,-20.36,-47.237,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-04-12,9170.772811531624,52868.01221063928,36.647,8.291,0,1.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-11-30,2834.3201322684527,58859.26375797735,29.329,-3.47,0,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-02-17,2449.586764376471,17914.45628806389,4.231,-7.287,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-04-05,9062.76509540782,50388.77626928765,36.832,8.103,0,2.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-06-20,9297.840712853746,63012.97226564051,41.16,11.054,0,0.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-09-20,24236.790311624605,67261.27576651014,64.257,34.333,4255.362828720855,6.75,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-08-31,0,47430.91789962268,19.994,-7.188,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-03-14,18019.640273047204,60865.52473329663,51.461,22.122,3026.3338498218823,0.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-02-28,18789.107008831168,66189.66979869356,55.012,24.888,5321.321334256438,0.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-11-02,3010.0973957640554,51098.23871833616,22.074,-7.632,0,0.5,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-09-13,26296.70217861323,73562.43180651715,68.256,37.251,8738.741947036408,6.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-04-04,11974.031901254668,57800.364580293,44.923,15.342,0,0,FALSE,0.141656545931055,2.933
