custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
European Union,2020-04-27,447593544,0.19960376121766477,0.19960376121766477,0.19960376121766477,0.19960376121766477,0.19960376121766477,0.19960376121766477,0.19960376121766477,5.389301552876948,0.19960376121766477,0.44996203073027347
North America,2020-04-27,375152636,0.5974577408978343,0.5974577408978343,0.5974577408978343,0.5974577408978343,0.5974577408978343,0.5974577408978343,0.5974577408978343,1.1949154817956686,0.5974577408978343,0.5797640190378404
Latin America and Caribbean,2020-05-04,655119303,0.42357667841016666,0.4359889283328038,0.4331183809682393,0.42357667841016666,0.413747606092977,0.40973444635633927,0.4086732143264959,20.087484483375263,0.41848926007031806,0.16535720975390036
Asia,2020-05-04,4666863690,0.024504652964081983,0.0944492230068344,0.07695377076695685,0.03479437994009608,0.0042357661366461685,-0.02908047365391602,-0.02944837623899233,-0.1602705488443471,-0.003270827527435656,0.007722573958443599
Oceania,2020-05-04,44446737,-0.037775434610066966,-0.007637052901803723,-0.010019232684634838,-0.025813472339984458,-0.04943284924389567,-0.06988073502666635,-0.0735364141661976,-0.5562530992113929,-0.02418491735701708,0.004499767890722777
European Union,2020-05-04,447593544,0.12166002721426106,0.12166002721426106,0.12166002721426106,0.12166002721426106,0.12166002721426106,0.12166002721426106,0.12166002721426106,3.284820734785048,0.12166002721426106,0.30806074361072555
North America,2020-05-04,375152636,0.5196760669873784,0.5196760669873784,0.5196760669873784,0.5196760669873784,0.5196760669873784,0.5196760669873784,0.5196760669873784,1.039352133974757,0.5196760669873784,0.5456826911380146
Latin America and Caribbean,2020-05-11,655119303,0.46308806183750345,0.4773970003922872,0.4725288750552115,0.4634764951944906,0.45361353946202065,0.44938140088734907,0.4476256059025162,21.97100619143801,0.4577292956549587,0.21649262867163602
Asia,2020-05-11,4666863690,0.03131985360488862,0.11164423279209279,0.10047626920163698,0.04469491668493708,0.017580086075024873,-0.012918504057440213,-0.02663719558645137,-0.1889103396928345,-0.003855313054955806,0.0074476784214796725
Oceania,2020-05-11,44446737,-0.038558475866046354,-5.137875931395988e-4,-0.004002660931067507,-0.02265090971441545,-0.04935164898343443,-0.06941679598444438,-0.07534536516686853,-0.5769520315087205,-0.025084870935161763,6.43466808373357e-4
