continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-04-20,659285500,1035.0588414588067,1117.3340546736974,1089.6767756326421,1050.1957511062658,999.6687036893059,963.2730714061822,947.0614817714907,51728.00580667626,1077.6667876390886,451.645
Asia,2020-04-20,4695793204,-3072.591792398485,597.843483437502,-439.05090670926927,-2451.181521809961,-4216.701652719813,-5837.042450935705,-6677.5884587176915,-27808.96377323362,-556.1792754646724,359.574
Africa,2020-04-20,1425436439,-863.7451325702197,601.9491244484493,448.4388514782378,-394.8625007048215,-1463.5255317382084,-2660.1672787962725,-3160.233802715467,-5718.7963927584615,-102.1213641564011,46.63
"Europe, United States, Canada, and Oceania",2020-04-20,1168254059,6526.556580950691,6547.655751718069,6544.098666391032,6535.170787659545,6525.129385583891,6518.404821459661,6515.757152410642,489700.06937669916,6529.334258355989,6351.001
Latin America and Caribbean,2020-04-27,659285500,1337.5658997121031,1413.2804205759173,1394.1202110065385,1337.5658997121031,1279.8437577260147,1245.3066992437903,1230.2387185162625,64872.34866381924,1351.5072638295676,722.1080000000001
Asia,2020-04-27,4695793204,-3521.871798233814,1259.393604616262,66.83089223359023,-1965.3866942205925,-4105.931244285739,-5830.183281820513,-6622.56721967462,-25101.3923446621,-502.02784689324204,353.574
Africa,2020-04-27,1425436439,-662.1357192977431,883.0809478086475,779.8942226833144,-281.2283724039193,-1409.7346973005883,-2863.930080461811,-3369.499377738754,-8742.796392758431,-156.12136415640055,43.729
"Europe, United States, Canada, and Oceania",2020-04-27,1168254059,4502.651034628247,4525.478399897684,4523.708904833987,4514.173064931063,4502.651034628247,4494.262601645703,4492.44015035284,338595.85509098554,4514.61140121314,5294.145
Latin America and Caribbean,2020-05-04,659285500,2719.5440353338445,2804.982357223753,2781.1738874239645,2721.1795686483842,2654.253529253817,2620.908043910658,2604.5688656886964,128382.01428593899,2674.625297623729,1083.287
Asia,2020-05-04,4695793204,1255.811293895394,4386.434144824888,4064.7849063451636,2007.9190055595318,191.4915355850724,-986.0178617868382,-1263.2655683582368,-7618.418842358003,-152.36837684716005,360.974
Africa,2020-05-04,1425436439,-51.895805069769835,2229.3038190784778,1808.364678744512,532.7629222870188,-592.2312033059441,-1829.296923090866,-2643.8400964019024,17160.82812337058,306.4433593459032,54.751
"Europe, United States, Canada, and Oceania",2020-05-04,1168254059,3635.2310320044835,3658.9410531779868,3654.571001142008,3645.2889199959604,3633.2188112726276,3623.612215292077,3621.154563271819,273335.0762891421,3644.4676838552273,4301.146
Latin America and Caribbean,2020-05-11,659285500,2986.638896942064,3063.319660490266,3046.7876963265353,2986.638896942064,2914.6545220643043,2879.131201545502,2873.125962132212,140735.04285736763,2931.9800595284923,1418.285
Asia,2020-05-11,4695793204,1428.5828761836517,4937.008866781671,4378.918914434297,2463.3266001600205,668.5841725583379,-710.3616298618917,-1131.3263896331384,-8730.847413786572,-174.61694827573146,348.287
Africa,2020-05-11,1425436439,88.94046591318292,2269.873115850665,1937.8688161484088,780.4192639435057,-496.17971276937146,-1824.680460910068,-2581.732888688649,17805.628123370574,317.95764506018884,71.717
"Europe, United States, Canada, and Oceania",2020-05-11,1168254059,3367.878897668763,3395.811906295208,3389.2737540639496,3378.421576457236,3366.6706237105836,3356.457482626177,3355.204609965064,253280.07628914234,3377.0676838552313,3599.5719999999997
Latin America and Caribbean,2020-05-18,659285500,3245.4784373778134,3291.237618794161,3274.286703150998,3245.4784373778134,3146.4091995035983,3117.0165045663207,3110.5535225065587,151540.18571451041,3157.0872023856336,1676.146
